,Substrate,AAM,E-1,E-2
0,C1=CC=CC=C1C(C)=O,[At:10][H:20].[H+:19].[c:1]1([H:21])[c:3]([C:4](=[O:5])[C:7]([H:24])([H:25])[H:26])[c:2]([H:22])[c:9]([H:28])[c:8]([H:27])[c:6]1[H:23]>>[At+:10].[c:1]1([H:21])[c:3]([C:4]([O:5][H:19])([C:7]([H:24])([H:25])[H:26])[H:20])[c:2]([H:22])[c:9]([H:28])[c:8]([H:27])[c:6]1[H:23],0,0
1,C1=CC(=CC=C1C(C)=O)F,[At:11][H:20].[H+:19].[O:1]=[C:10]([C:5]([H:22])([H:23])[H:24])[c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([F:4])[c:2]([H:21])[c:9]1[H:27]>>[At+:11].[O:1]([C:10]([C:5]([H:22])([H:23])[H:24])([c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([F:4])[c:2]([H:21])[c:9]1[H:27])[H:20])[H:19],0,1
2,C1=C(C=CC=C1C(C)=O)Br,[At:11][H:20].[H+:19].[c:1]1([C:5](=[O:7])[C:8]([H:23])([H:24])[H:25])[c:2]([H:21])[c:3]([Br:4])[c:6]([H:22])[c:9]([H:26])[c:10]1[H:27]>>[At+:11].[c:1]1([C:5]([O:7][H:19])([C:8]([H:23])([H:24])[H:25])[H:20])[c:2]([H:21])[c:3]([Br:4])[c:6]([H:22])[c:9]([H:26])[c:10]1[H:27],0,1
3,C1(=CC=CC=C1C(C)=O)Br,[At:11][H:20].[H+:19].[c:1]1([H:21])[c:2]([Br:3])[c:4]([C:5](=[O:6])[C:9]([H:24])([H:25])[H:26])[c:7]([H:22])[c:8]([H:23])[c:10]1[H:27]>>[At+:11].[c:1]1([H:21])[c:2]([Br:3])[c:4]([C:5]([O:6][H:19])([C:9]([H:24])([H:25])[H:26])[H:20])[c:7]([H:22])[c:8]([H:23])[c:10]1[H:27],0,0
4,C1=CC(=CC=C1C(C)=O)Br,[At:11][H:20].[H+:19].[O:1]=[C:10]([C:5]([H:22])([H:23])[H:24])[c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([Br:4])[c:2]([H:21])[c:9]1[H:27]>>[At+:11].[O:1]([C:10]([C:5]([H:22])([H:23])[H:24])([c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([Br:4])[c:2]([H:21])[c:9]1[H:27])[H:20])[H:19],0,1
5,C1=CC(=CC=C1C(C)=O)O,[At:11][H:20].[C:1]([C:8]([c:6]1[c:5]([H:27])[c:4]([H:26])[c:3]([O:2][H:25])[c:9]([H:29])[c:7]1[H:28])=[O:10])([H:22])([H:23])[H:24].[H+:21]>>[At+:11].[C:1]([C:8]([c:6]1[c:5]([H:27])[c:4]([H:26])[c:3]([O:2][H:25])[c:9]([H:29])[c:7]1[H:28])([O:10][H:21])[H:20])([H:22])([H:23])[H:24],0,0
6,C1(=CC=CC=C1C(C)=O)O,[At:11][H:20].[H+:21].[c:1]1([H:22])[c:4]([C:5](=[O:6])[C:8]([H:25])([H:26])[H:27])[c:3]([O:2][H:23])[c:10]([H:29])[c:9]([H:28])[c:7]1[H:24]>>[At+:11].[c:1]1([H:22])[c:4]([C:5]([O:6][H:21])([C:8]([H:25])([H:26])[H:27])[H:20])[c:3]([O:2][H:23])[c:10]([H:29])[c:9]([H:28])[c:7]1[H:24],0,0
7,C1=C(C=CC=C1C(C)=O)O,[At:11][H:20].[H+:21].[O:1]([c:2]1[c:3]([H:23])[c:4]([C:5](=[O:8])[C:9]([H:26])([H:27])[H:28])[c:6]([H:24])[c:7]([H:25])[c:10]1[H:29])[H:22]>>[At+:11].[O:1]([c:2]1[c:3]([H:23])[c:4]([C:5]([O:8][H:21])([C:9]([H:26])([H:27])[H:28])[H:20])[c:6]([H:24])[c:7]([H:25])[c:10]1[H:29])[H:22],0,1
8,C1(=CC(=CC=C1C(C)=O)Br)O,[At:12][H:20].[H+:21].[O:1]([c:2]1[c:3]([C:4](=[O:5])[C:8]([H:24])([H:25])[H:26])[c:11]([H:28])[c:6]([H:23])[c:7]([Br:9])[c:10]1[H:27])[H:22]>>[At+:12].[O:1]([c:2]1[c:3]([C:4]([O:5][H:21])([C:8]([H:24])([H:25])[H:26])[H:20])[c:11]([H:28])[c:6]([H:23])[c:7]([Br:9])[c:10]1[H:27])[H:22],0,0
9,C1=CC=CC(=C1C(C)=O)OC,[At:12][H:24].[C:1]([C:9]([c:8]1[c:3]([O:4][C:5]([H:29])([H:30])[H:31])[c:2]([H:28])[c:10]([H:34])[c:7]([H:33])[c:6]1[H:32])=[O:11])([H:25])([H:26])[H:27].[H+:23]>>[At+:12].[C:1]([C:9]([c:8]1[c:3]([O:4][C:5]([H:29])([H:30])[H:31])[c:2]([H:28])[c:10]([H:34])[c:7]([H:33])[c:6]1[H:32])([O:11][H:23])[H:24])([H:25])([H:26])[H:27],0,0
10,C1=C(C=CC(=C1C(C)=O)OC)CC,[At:14][H:30].[H+:29].[c:1]1([C:6]([C:8]([H:37])([H:38])[H:39])([H:32])[H:33])[c:2]([H:31])[c:3]([C:10](=[O:11])[C:12]([H:41])([H:42])[H:43])[c:4]([O:5][C:7]([H:34])([H:35])[H:36])[c:9]([H:40])[c:13]1[H:44]>>[At+:14].[c:1]1([C:6]([C:8]([H:37])([H:38])[H:39])([H:32])[H:33])[c:2]([H:31])[c:3]([C:10]([O:11][H:29])([C:12]([H:41])([H:42])[H:43])[H:30])[c:4]([O:5][C:7]([H:34])([H:35])[H:36])[c:9]([H:40])[c:13]1[H:44],0,0
11,C1=C(C(=C(C=C1C(C)=O)OC)OC)OC,[At:16][H:32].[H+:31].[O:1]([C:5]([H:34])([H:35])[H:36])[c:15]1[c:7]([H:40])[c:10]([C:11](=[O:12])[C:14]([H:44])([H:45])[H:46])[c:2]([H:33])[c:3]([O:4][C:6]([H:37])([H:38])[H:39])[c:8]1[O:9][C:13]([H:41])([H:42])[H:43]>>[At+:16].[O:1]([C:5]([H:34])([H:35])[H:36])[c:15]1[c:7]([H:40])[c:10]([C:11]([O:12][H:31])([C:14]([H:44])([H:45])[H:46])[H:32])[c:2]([H:33])[c:3]([O:4][C:6]([H:37])([H:38])[H:39])[c:8]1[O:9][C:13]([H:41])([H:42])[H:43],0,0
12,C1=CC(=CC=C1C(C)=O)OCC,[At:13][H:27].[H+:26].[c:1]1([H:28])[c:2]([O:3][C:5]([C:10]([H:35])([H:36])[H:37])([H:30])[H:31])[c:12]([H:39])[c:4]([H:29])[c:6]([C:7](=[O:8])[C:9]([H:32])([H:33])[H:34])[c:11]1[H:38]>>[At+:13].[c:1]1([H:28])[c:2]([O:3][C:5]([C:10]([H:35])([H:36])[H:37])([H:30])[H:31])[c:12]([H:39])[c:4]([H:29])[c:6]([C:7]([O:8][H:26])([C:9]([H:32])([H:33])[H:34])[H:27])[c:11]1[H:38],0,1
