,Substrate,AAM,E-1
0,C(N)(NCCC[C@@H](C(C)=O)N)=N,[N:13](=[C:14]([N:15]([C:19]([C:22]([C:24]([C:16]([C:17](=[O:18])[O:20][H:59])([N:21]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])[H:55])[N:23]([H:64])[H:65])[H:54].[N:1](=[C:2]([N:3]([C:7]([C:9]([C:12]([C:4]([C:5](=[O:6])[C:8]([H:44])([H:45])[H:46])([N:10]([H:38])[H:49])[H:41])([H:52])[H:53])([H:47])[H:48])([H:42])[H:43])[H:40])[N:11]([H:50])[H:51])[H:39]>>[N:15]([C:19]([C:22]([C:24]([C:16]([C:17](=[O:18])[O:20][H:59])([N:21]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])([H:38])[H:55].[N:1](=[C:2]([N:3]([C:7]([C:9]([C:12]([C:4]([C:5](=[O:6])[C:8]([H:44])([H:45])[H:46])([N:10]([C:14](=[N:13][H:54])[N:23]([H:64])[H:65])[H:49])[H:41])([H:52])[H:53])([H:47])[H:48])([H:42])[H:43])[H:40])[N:11]([H:50])[H:51])[H:39],1
1,C(N)(NCCC[C@@H](C(CC)=O)N)=N,[N:14](=[C:15]([N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:63])([N:22]([H:64])[H:65])[H:60])([H:70])[H:71])([H:66])[H:67])([H:61])[H:62])[H:59])[N:24]([H:68])[H:69])[H:58].[N:1](=[C:2]([N:4]([C:8]([C:10]([C:12]([C:3]([C:5](=[O:6])[C:7]([C:9]([H:48])([H:49])[H:50])([H:44])[H:45])([N:11]([H:40])[H:53])[H:42])([H:54])[H:55])([H:51])[H:52])([H:46])[H:47])[H:43])[N:13]([H:56])[H:57])[H:41]>>[N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:63])([N:22]([H:64])[H:65])[H:60])([H:70])[H:71])([H:66])[H:67])([H:61])[H:62])([H:40])[H:59].[N:1](=[C:2]([N:4]([C:8]([C:10]([C:12]([C:3]([C:5](=[O:6])[C:7]([C:9]([H:48])([H:49])[H:50])([H:44])[H:45])([N:11]([C:15](=[N:14][H:58])[N:24]([H:68])[H:69])[H:53])[H:42])([H:54])[H:55])([H:51])[H:52])([H:46])[H:47])[H:43])[N:13]([H:56])[H:57])[H:41],1
2,C(N)(NCCC[C@@H](C(CCC)=O)N)=N,[C:1]([C:5](=[O:6])[C:7]([C:9]([C:11]([H:55])([H:56])[H:57])([H:51])[H:52])([H:47])[H:48])([C:12]([C:10]([C:8]([N:4]([C:3](=[N:2][H:45])[N:14]([H:61])[H:62])[H:46])([H:49])[H:50])([H:53])[H:54])([H:58])[H:59])([N:13]([H:43])[H:60])[H:44].[N:15](=[C:16]([N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:68])([N:23]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])[H:64])[N:25]([H:73])[H:74])[H:63]>>[C:1]([C:5](=[O:6])[C:7]([C:9]([C:11]([H:55])([H:56])[H:57])([H:51])[H:52])([H:47])[H:48])([C:12]([C:10]([C:8]([N:4]([C:3](=[N:2][H:45])[N:14]([H:61])[H:62])[H:46])([H:49])[H:50])([H:53])[H:54])([H:58])[H:59])([N:13]([C:16](=[N:15][H:63])[N:25]([H:73])[H:74])[H:60])[H:44].[N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:68])([N:23]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])([H:43])[H:64],1
3,C(N)(NCCC[C@@H](C(C(C)C)=O)N)=N,[C:1]([C:5](=[O:6])[C:7]([C:9]([H:50])([H:51])[H:52])([C:11]([H:55])([H:56])[H:57])[H:47])([C:12]([C:10]([C:8]([N:4]([C:3](=[N:2][H:45])[N:14]([H:61])[H:62])[H:46])([H:48])[H:49])([H:53])[H:54])([H:58])[H:59])([N:13]([H:43])[H:60])[H:44].[N:15](=[C:16]([N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:68])([N:23]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])[H:64])[N:25]([H:73])[H:74])[H:63]>>[C:1]([C:5](=[O:6])[C:7]([C:9]([H:50])([H:51])[H:52])([C:11]([H:55])([H:56])[H:57])[H:47])([C:12]([C:10]([C:8]([N:4]([C:3](=[N:2][H:45])[N:14]([H:61])[H:62])[H:46])([H:48])[H:49])([H:53])[H:54])([H:58])[H:59])([N:13]([C:16](=[N:15][H:63])[N:25]([H:73])[H:74])[H:60])[H:44].[N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:68])([N:23]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])([H:43])[H:64],0
4,C(N)(NCCC[C@@H](C(CC(C)C)=O)N)=N,[N:16](=[C:17]([N:18]([C:22]([C:25]([C:27]([C:19]([C:20](=[O:21])[O:23][H:74])([N:24]([H:75])[H:76])[H:71])([H:81])[H:82])([H:77])[H:78])([H:72])[H:73])[H:70])[N:26]([H:79])[H:80])[H:69].[N:1](=[C:2]([N:4]([C:7]([C:10]([C:11]([C:15]([C:3](=[O:5])[C:6]([C:8]([C:9]([H:55])([H:56])[H:57])([C:12]([H:62])([H:63])[H:64])[H:54])([H:50])[H:51])([N:13]([H:47])[H:65])[H:68])([H:60])[H:61])([H:58])[H:59])([H:52])[H:53])[H:49])[N:14]([H:66])[H:67])[H:48]>>[N:18]([C:22]([C:25]([C:27]([C:19]([C:20](=[O:21])[O:23][H:74])([N:24]([H:75])[H:76])[H:71])([H:81])[H:82])([H:77])[H:78])([H:72])[H:73])([H:47])[H:70].[N:1](=[C:2]([N:4]([C:7]([C:10]([C:11]([C:15]([C:3](=[O:5])[C:6]([C:8]([C:9]([H:55])([H:56])[H:57])([C:12]([H:62])([H:63])[H:64])[H:54])([H:50])[H:51])([N:13]([C:17](=[N:16][H:69])[N:26]([H:79])[H:80])[H:65])[H:68])([H:60])[H:61])([H:58])[H:59])([H:52])[H:53])[H:49])[N:14]([H:66])[H:67])[H:48],1
5,C(N)(NCCC[C@@H](C(CCCCC)=O)N)=N,[C:1](=[O:4])([C:6]([C:7]([C:9]([C:11]([C:13]([H:66])([H:67])[H:68])([H:62])[H:63])([H:58])[H:59])([H:54])[H:55])([H:52])[H:53])[C:15]([C:12]([C:10]([C:8]([N:5]([C:3](=[N:2][H:50])[N:16]([H:71])[H:72])[H:51])([H:56])[H:57])([H:60])[H:61])([H:64])[H:65])([N:14]([H:49])[H:69])[H:70].[N:17](=[C:18]([N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:78])([N:25]([H:79])[H:80])[H:75])([H:85])[H:86])([H:81])[H:82])([H:76])[H:77])[H:74])[N:27]([H:83])[H:84])[H:73]>>[C:1](=[O:4])([C:6]([C:7]([C:9]([C:11]([C:13]([H:66])([H:67])[H:68])([H:62])[H:63])([H:58])[H:59])([H:54])[H:55])([H:52])[H:53])[C:15]([C:12]([C:10]([C:8]([N:5]([C:3](=[N:2][H:50])[N:16]([H:71])[H:72])[H:51])([H:56])[H:57])([H:60])[H:61])([H:64])[H:65])([N:14]([C:18](=[N:17][H:73])[N:27]([H:83])[H:84])[H:69])[H:70].[N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:78])([N:25]([H:79])[H:80])[H:75])([H:85])[H:86])([H:81])[H:82])([H:76])[H:77])([H:49])[H:74],0
6,C(N)(NCCC[C@@H](C(CCCCCCC)=O)N)=N,[C:1]([C:5]([C:7]([C:9]([C:10]([C:12]([C:13]([H:77])([H:78])[H:79])([H:75])[H:76])([H:71])[H:72])([H:69])[H:70])([H:65])[H:66])([H:61])[H:62])([C:16]([C:14]([C:11]([C:8]([C:6]([N:4]([C:3](=[N:2][H:59])[N:17]([H:82])[H:83])[H:60])([H:63])[H:64])([H:67])[H:68])([H:73])[H:74])([N:15]([H:56])[H:81])[H:80])=[O:18])([H:57])[H:58].[N:19](=[C:20]([N:21]([C:25]([C:28]([C:30]([C:22]([C:23](=[O:24])[O:26][H:89])([N:27]([H:90])[H:91])[H:86])([H:96])[H:97])([H:92])[H:93])([H:87])[H:88])[H:85])[N:29]([H:94])[H:95])[H:84]>>[C:1]([C:5]([C:7]([C:9]([C:10]([C:12]([C:13]([H:77])([H:78])[H:79])([H:75])[H:76])([H:71])[H:72])([H:69])[H:70])([H:65])[H:66])([H:61])[H:62])([C:16]([C:14]([C:11]([C:8]([C:6]([N:4]([C:3](=[N:2][H:59])[N:17]([H:82])[H:83])[H:60])([H:63])[H:64])([H:67])[H:68])([H:73])[H:74])([N:15]([C:20](=[N:19][H:84])[N:29]([H:94])[H:95])[H:81])[H:80])=[O:18])([H:57])[H:58].[N:21]([C:25]([C:28]([C:30]([C:22]([C:23](=[O:24])[O:26][H:89])([N:27]([H:90])[H:91])[H:86])([H:96])[H:97])([H:92])[H:93])([H:87])[H:88])([H:56])[H:85],0
7,C(N)(NCCC[C@@H](C(C1CCCC1)=O)N)=N,[C:1](=[O:4])([C:6]1([H:50])[C:7]([H:51])([H:52])[C:9]([H:55])([H:56])[C:11]([H:59])([H:60])[C:13]1([H:63])[H:64])[C:15]([C:12]([C:10]([C:8]([N:5]([C:3](=[N:2][H:48])[N:16]([H:67])[H:68])[H:49])([H:53])[H:54])([H:57])[H:58])([H:61])[H:62])([N:14]([H:47])[H:65])[H:66].[N:17](=[C:18]([N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:74])([N:25]([H:75])[H:76])[H:71])([H:81])[H:82])([H:77])[H:78])([H:72])[H:73])[H:70])[N:27]([H:79])[H:80])[H:69]>>[C:1](=[O:4])([C:6]1([H:50])[C:7]([H:51])([H:52])[C:9]([H:55])([H:56])[C:11]([H:59])([H:60])[C:13]1([H:63])[H:64])[C:15]([C:12]([C:10]([C:8]([N:5]([C:3](=[N:2][H:48])[N:16]([H:67])[H:68])[H:49])([H:53])[H:54])([H:57])[H:58])([H:61])[H:62])([N:14]([C:18](=[N:17][H:69])[N:27]([H:79])[H:80])[H:65])[H:66].[N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:74])([N:25]([H:75])[H:76])[H:71])([H:81])[H:82])([H:77])[H:78])([H:72])[H:73])([H:47])[H:70],0
8,C(N)(NCCC[C@@H](C(c1ccccc1)=O)N)=N,[N:18](=[C:19]([N:20]([C:24]([C:27]([C:29]([C:21]([C:22](=[O:23])[O:25][H:68])([N:26]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])[H:64])[N:28]([H:73])[H:74])[H:63].[O:1]=[C:17]([c:4]1[c:6]([H:48])[c:7]([H:49])[c:9]([H:52])[c:10]([H:53])[c:13]1[H:58])[C:15]([C:12]([C:11]([C:8]([N:5]([C:3](=[N:2][H:46])[N:16]([H:61])[H:62])[H:47])([H:50])[H:51])([H:54])[H:55])([H:56])[H:57])([N:14]([H:45])[H:59])[H:60]>>[N:20]([C:24]([C:27]([C:29]([C:21]([C:22](=[O:23])[O:25][H:68])([N:26]([H:69])[H:70])[H:65])([H:75])[H:76])([H:71])[H:72])([H:66])[H:67])([H:45])[H:64].[O:1]=[C:17]([c:4]1[c:6]([H:48])[c:7]([H:49])[c:9]([H:52])[c:10]([H:53])[c:13]1[H:58])[C:15]([C:12]([C:11]([C:8]([N:5]([C:3](=[N:2][H:46])[N:16]([H:61])[H:62])[H:47])([H:50])[H:51])([H:54])[H:55])([H:56])[H:57])([N:14]([C:19](=[N:18][H:63])[N:28]([H:73])[H:74])[H:59])[H:60],0
9,C(N)(NCCC[C@@H](C(OC)=O)N)=N,[N:14](=[C:15]([N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:59])([N:22]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])[H:55])[N:24]([H:64])[H:65])[H:54].[N:1](=[C:2]([N:4]([C:8]([C:10]([C:12]([C:3]([C:5](=[O:6])[O:7][C:9]([H:44])([H:45])[H:46])([N:11]([H:38])[H:49])[H:40])([H:50])[H:51])([H:47])[H:48])([H:42])[H:43])[H:41])[N:13]([H:52])[H:53])[H:39]>>[N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:59])([N:22]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])([H:38])[H:55].[N:1](=[C:2]([N:4]([C:8]([C:10]([C:12]([C:3]([C:5](=[O:6])[O:7][C:9]([H:44])([H:45])[H:46])([N:11]([C:15](=[N:14][H:54])[N:24]([H:64])[H:65])[H:49])[H:40])([H:50])[H:51])([H:47])[H:48])([H:42])[H:43])[H:41])[N:13]([H:52])[H:53])[H:39],1
