,Transformation,AAM,Class
0,BF3K-Ni-photoredox,[F:13][B-:17]([F:14])([F:15])[C:16]([H:26])([H:27])[H:28].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][B-:17]([F:13])([F:14])[F:15].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:16]([H:26])([H:27])[H:28])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
1,CEC-Ni-photoredox,[O:1]=[S:10]([O:4][C:6]([H:27])([H:28])[H:29])([c:8]1[c:7]([H:30])[c:5]([H:26])[c:3]([C:11]([H:32])([H:33])[H:34])[c:2]([H:25])[c:9]1[H:31])=[O:12].[n:13]1[c:17]([H:36])[c:19]([H:38])[c:23]([H:41])[n:24]1-[c:22]1[c:14]([H:35])[c:15]([Br:16])[c:18]([H:37])[c:20]([H:39])[c:21]1[H:40]>>[C:6]([c:15]1[c:14]([H:35])[c:22](-[n:24]2[n:13][c:17]([H:36])[c:19]([H:38])[c:23]2[H:41])[c:21]([H:40])[c:20]([H:39])[c:18]1[H:37])([H:27])([H:28])[H:29].[O:1]=[S:10]([O:4][Br:16])([c:8]1[c:7]([H:30])[c:5]([H:26])[c:3]([C:11]([H:32])([H:33])[H:34])[c:2]([H:25])[c:9]1[H:31])=[O:12],0
2,COOH-Ni-photoredox,[C:13]([C:15]([O:14][H:27])=[O:16])([H:24])([H:25])[H:26].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([Br:4])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22]>>[Br:4][C:15]([O:14][H:27])=[O:16].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([C:13]([H:24])([H:25])[H:26])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22],0
3,BF3K-Pd-Suzuki,[F:13][B-:17]([F:14])([F:15])[C:16]([H:26])([H:27])[H:28].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][B-:17]([F:13])([F:14])[F:15].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:16]([H:26])([H:27])[H:28])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
4,MIDA-Pd-Suzuki,[N:1]1([C:9]([H:27])([H:28])[H:29])[C:2]([H:25])([H:26])[C:3](=[O:4])[O:5][B:6]([C:12]([H:32])([H:33])[H:34])[O:7][C:8](=[O:10])[C:11]1([H:30])[H:31].[n:13]1[c:17]([H:36])[c:19]([H:38])[c:23]([H:41])[n:24]1-[c:22]1[c:14]([H:35])[c:15]([Br:16])[c:18]([H:37])[c:20]([H:39])[c:21]1[H:40]>>[C:12]([c:15]1[c:14]([H:35])[c:22](-[n:24]2[n:13][c:17]([H:36])[c:19]([H:38])[c:23]2[H:41])[c:21]([H:40])[c:20]([H:39])[c:18]1[H:37])([H:32])([H:33])[H:34].[N:1]1([C:9]([H:27])([H:28])[H:29])[C:2]([H:25])([H:26])[C:3](=[O:4])[O:5][B:6]([Br:16])[O:7][C:8](=[O:10])[C:11]1([H:30])[H:31],0
5,Negishi-Pd,[Zn:13]([Cl:14])[C:15]([H:23])([H:24])[H:25].[n:1]1[c:5]([H:17])[c:7]([H:19])[c:11]([H:22])[n:12]1-[c:10]1[c:2]([H:16])[c:3]([Br:4])[c:6]([H:18])[c:8]([H:20])[c:9]1[H:21]>>[Br:4][Zn:13][Cl:14].[n:1]1[c:5]([H:17])[c:7]([H:19])[c:11]([H:22])[n:12]1-[c:10]1[c:2]([H:16])[c:3]([C:15]([H:23])([H:24])[H:25])[c:6]([H:18])[c:8]([H:20])[c:9]1[H:21],1
6,CEC-Ni-photoredox,[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([Br:4])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39].[O:16]=[S:25]([O:19][C:21]([H:47])([H:48])[H:49])([c:23]1[c:22]([H:50])[c:20]([H:46])[c:18]([C:26]([H:52])([H:53])[H:54])[c:17]([H:45])[c:24]1[H:51])=[O:27]>>[Br:4][O:19][S:25](=[O:16])([c:23]1[c:22]([H:50])[c:20]([H:46])[c:18]([C:26]([H:52])([H:53])[H:54])[c:17]([H:45])[c:24]1[H:51])=[O:27].[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([C:21]([H:47])([H:48])[H:49])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39],0
7,BF3K-Ni-photoredox,[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([Br:4])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33].[F:16][B-:20]([F:17])([F:18])[C:19]([H:39])([H:40])[H:41]>>[Br:4][B-:20]([F:16])([F:17])[F:18].[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([C:19]([H:39])([H:40])[H:41])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33],0
8,COOH-Ni-photoredox,[C:16]([C:18]([O:17][H:40])=[O:19])([H:37])([H:38])[H:39].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([Br:4])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31]>>[Br:4][C:18]([O:17][H:40])=[O:19].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([C:16]([H:37])([H:38])[H:39])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31],0
9,BF3K-Pd-Suzuki,[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([Br:4])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33].[F:16][B-:20]([F:17])([F:18])[C:19]([H:39])([H:40])[H:41]>>[Br:4][B-:20]([F:16])([F:17])[F:18].[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([C:19]([H:39])([H:40])[H:41])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33],0
