,Substrate,AAM,E-1
0,CCCCl,[C:1]([C:2]([Cl:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[Cl:4][H:14],0
1,CCCCCl,[C:1]([Cl:3])([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([H:18])[H:19].[O:6]([H:17])[H:27]>>[C:1]([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([O:6][H:27])([H:18])[H:19].[Cl:3][H:17],0
2,CCCCCCCl,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([Cl:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[Cl:4][H:23],1
3,CCCCCCCCl,[C:1]([Cl:3])([C:5]([C:8]([C:2]([C:4]([C:6]([C:7]([H:37])([H:38])[H:39])([H:35])[H:36])([H:31])[H:32])([H:29])[H:30])([H:40])[H:41])([H:33])[H:34])([H:27])[H:28].[O:9]([H:26])[H:42]>>[C:1]([C:5]([C:8]([C:2]([C:4]([C:6]([C:7]([H:37])([H:38])[H:39])([H:35])[H:36])([H:31])[H:32])([H:29])[H:30])([H:40])[H:41])([H:33])[H:34])([O:9][H:42])([H:27])[H:28].[Cl:3][H:26],1
4,CCCCCCCCCl,[C:1]([C:4]([C:6]([C:7]([C:9]([H:44])([H:45])[H:46])([H:40])[H:41])([H:38])[H:39])([H:34])[H:35])([C:8]([C:5]([C:2]([Cl:3])([H:32])[H:33])([H:36])[H:37])([H:42])[H:43])([H:30])[H:31].[O:10]([H:29])[H:47]>>[C:1]([C:4]([C:6]([C:7]([C:9]([H:44])([H:45])[H:46])([H:40])[H:41])([H:38])[H:39])([H:34])[H:35])([C:8]([C:5]([C:2]([O:10][H:47])([H:32])[H:33])([H:36])[H:37])([H:42])[H:43])([H:30])[H:31].[Cl:3][H:29],1
5,CCCBr,[C:1]([C:2]([Br:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[Br:4][H:14].[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16],0
6,CCCCBr,[C:1]([Br:3])([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([H:18])[H:19].[O:6]([H:17])[H:27]>>[Br:3][H:17].[C:1]([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([O:6][H:27])([H:18])[H:19],1
7,CCCCCCBr,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([Br:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[Br:4][H:23].[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25],1
8,CCCI,[C:1]([C:2]([I:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[I:4][H:14],1
9,CCCCCCI,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([I:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[I:4][H:23],1
