,Substrate,AAM,E-1,E-2,E-3,E-4,E-5,E-6,E-7
0,CC#N,[C:1](#[N:2])[C:3]([H:13])([H:14])[H:15].[O:4]([H:10])[H:16].[O:5]([H:11])[H:12]>>[C:1]([C:3]([H:13])([H:14])[H:15])([O:4][H:16])=[O:5].[N:2]([H:10])([H:11])[H:12],0,0,0,0,0,0,0
1,CCC#N,[N:1]#[C:4][C:3]([C:2]([H:16])([H:17])[H:18])([H:19])[H:20].[O:5]([H:13])[H:21].[O:6]([H:14])[H:15]>>[C:2]([C:3]([C:4]([O:5][H:21])=[O:6])([H:19])[H:20])([H:16])([H:17])[H:18].[N:1]([H:13])([H:14])[H:15],0,0,0,0,0,0,0
2,CCCC#N,[C:1]([C:2]([C:3]#[N:5])([H:21])[H:22])([C:4]([H:23])([H:24])[H:25])([H:19])[H:20].[O:6]([H:16])[H:26].[O:7]([H:17])[H:18]>>[C:1]([C:2]([C:3]([O:6][H:26])=[O:7])([H:21])[H:22])([C:4]([H:23])([H:24])[H:25])([H:19])[H:20].[N:5]([H:16])([H:17])[H:18],0,0,0,0,0,0,0
3,CCCCC#N,[C:1]([C:2]#[N:4])([C:6]([C:3]([C:5]([H:26])([H:27])[H:28])([H:24])[H:25])([H:29])[H:30])([H:22])[H:23].[O:7]([H:19])[H:31].[O:8]([H:20])[H:21]>>[C:1]([C:2]([O:7][H:31])=[O:8])([C:6]([C:3]([C:5]([H:26])([H:27])[H:28])([H:24])[H:25])([H:29])[H:30])([H:22])[H:23].[N:4]([H:19])([H:20])[H:21],0,0,0,0,0,0,0
4,CCCCCC#N,[C:1]([C:5]([C:7]([H:33])([H:34])[H:35])([H:29])[H:30])([C:6]([C:2]([C:3]#[N:4])([H:27])[H:28])([H:31])[H:32])([H:25])[H:26].[O:8]([H:22])[H:36].[O:9]([H:23])[H:24]>>[C:1]([C:5]([C:7]([H:33])([H:34])[H:35])([H:29])[H:30])([C:6]([C:2]([C:3]([O:8][H:36])=[O:9])([H:27])[H:28])([H:31])[H:32])([H:25])[H:26].[N:4]([H:22])([H:23])[H:24],0,0,0,0,0,0,0
5,CC(C)C#N,[C:1]([C:2]#[N:3])([C:4]([H:20])([H:21])[H:22])([C:5]([H:23])([H:24])[H:25])[H:19].[O:6]([H:16])[H:26].[O:7]([H:17])[H:18]>>[C:1]([C:2]([O:6][H:26])=[O:7])([C:4]([H:20])([H:21])[H:22])([C:5]([H:23])([H:24])[H:25])[H:19].[N:3]([H:16])([H:17])[H:18],0,0,0,0,0,0,0
6,CC(=C)C#N,[N:1]#[C:5][C:4]([C:2]([H:17])([H:18])[H:19])=[C:3]([H:20])[H:21].[O:6]([H:14])[H:22].[O:7]([H:15])[H:16]>>[C:2]([C:4](=[C:3]([H:20])[H:21])[C:5]([O:6][H:22])=[O:7])([H:17])([H:18])[H:19].[N:1]([H:14])([H:15])[H:16],0,0,0,0,0,0,0
7,C=CC#N,[C:1](=[C:2]([C:3]#[N:4])[H:16])([H:14])[H:15].[O:5]([H:11])[H:17].[O:6]([H:12])[H:13]>>[C:1](=[C:2]([C:3]([O:5][H:17])=[O:6])[H:16])([H:14])[H:15].[N:4]([H:11])([H:12])[H:13],0,0,0,0,0,0,0
8,N#CC1CCCCC1,[C:1]1([C:2]#[N:3])([H:26])[C:5]([H:29])([H:30])[C:8]([H:35])([H:36])[C:4]([H:27])([H:28])[C:6]([H:31])([H:32])[C:7]1([H:33])[H:34].[O:10]([H:24])[H:25].[O:9]([H:23])[H:37]>>[C:1]1([C:2]([O:9][H:37])=[O:10])([H:26])[C:5]([H:29])([H:30])[C:8]([H:35])([H:36])[C:4]([H:27])([H:28])[C:6]([H:31])([H:32])[C:7]1([H:33])[H:34].[N:3]([H:23])([H:24])[H:25],0,0,0,0,0,0,0
9,N#Cc1ccccc1,[O:10]([H:18])[H:19].[O:9]([H:17])[H:25].[c:1]1([H:20])[c:2]([C:3]#[N:4])[c:6]([H:22])[c:8]([H:24])[c:5]([H:21])[c:7]1[H:23]>>[N:4]([H:17])([H:18])[H:19].[c:1]1([H:20])[c:2]([C:3]([O:9][H:25])=[O:10])[c:6]([H:22])[c:8]([H:24])[c:5]([H:21])[c:7]1[H:23],0,0,0,0,0,0,0
