,Substrate,AAM,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12
0,C1=CC=CC=C1C(C)=O,[N:10]([C@@:14]([C:12]([O:11][H:38])=[O:13])([C:15]([H:39])([H:40])[H:41])[H:27])([H:36])[H:37].[c:1]1([H:28])[c:3]([C:4](=[O:5])[C:7]([H:31])([H:32])[H:33])[c:2]([H:29])[c:9]([H:35])[c:8]([H:34])[c:6]1[H:30]>>[O:5]=[C:14]([C:12]([O:11][H:38])=[O:13])[C:15]([H:39])([H:40])[H:41].[c:1]1([H:28])[c:3]([C@@:4]([C:7]([H:31])([H:32])[H:33])([N:10]([H:36])[H:37])[H:27])[c:2]([H:29])[c:9]([H:35])[c:8]([H:34])[c:6]1[H:30],0,0,0,0,0,0,0,0,0,0,0,0
1,C1=CC=CC=C1CCC(C)=O,[C:1]([c:3]1[c:2]([H:36])[c:11]([H:45])[c:8]([H:41])[c:6]([H:40])[c:4]1[H:37])([C:5]([C:7](=[O:9])[C:10]([H:42])([H:43])[H:44])([H:38])[H:39])([H:34])[H:35].[N:12]([C@@:16]([C:14]([O:13][H:48])=[O:15])([C:17]([H:49])([H:50])[H:51])[H:33])([H:46])[H:47]>>[C:1]([c:3]1[c:2]([H:36])[c:11]([H:45])[c:8]([H:41])[c:6]([H:40])[c:4]1[H:37])([C:5]([C@@:7]([C:10]([H:42])([H:43])[H:44])([N:12]([H:46])[H:47])[H:33])([H:38])[H:39])([H:34])[H:35].[O:9]=[C:16]([C:14]([O:13][H:48])=[O:15])[C:17]([H:49])([H:50])[H:51],0,0,0,0,1,0,0,0,0,0,0,0
2,C1=CC(=CC=C1CC(C)=O)OC,[N:13]([C@@:17]([C:15]([O:14][H:49])=[O:16])([C:18]([H:50])([H:51])[H:52])[H:34])([H:47])[H:48].[c:1]1([C:6]([C:8](=[O:10])[C:11]([H:43])([H:44])[H:45])([H:37])[H:38])[c:5]([H:36])[c:2]([H:35])[c:3]([O:4][C:7]([H:39])([H:40])[H:41])[c:9]([H:42])[c:12]1[H:46]>>[O:10]=[C:17]([C:15]([O:14][H:49])=[O:16])[C:18]([H:50])([H:51])[H:52].[c:1]1([C:6]([C@@:8]([C:11]([H:43])([H:44])[H:45])([N:13]([H:47])[H:48])[H:34])([H:37])[H:38])[c:5]([H:36])[c:2]([H:35])[c:3]([O:4][C:7]([H:39])([H:40])[H:41])[c:9]([H:42])[c:12]1[H:46],1,1,0,0,1,0,1,1,0,0,0,0
3,C1=CC=CC=C1OCC(C)=O,[N:12]([C@@:16]([C:14]([O:13][H:44])=[O:15])([C:17]([H:45])([H:46])[H:47])[H:31])([H:42])[H:43].[c:1]1([H:32])[c:2]([O:3][C:5]([C:7](=[O:9])[C:10]([H:38])([H:39])[H:40])([H:34])[H:35])[c:4]([H:33])[c:6]([H:36])[c:8]([H:37])[c:11]1[H:41]>>[O:9]=[C:16]([C:14]([O:13][H:44])=[O:15])[C:17]([H:45])([H:46])[H:47].[c:1]1([H:32])[c:2]([O:3][C:5]([C@@:7]([C:10]([H:38])([H:39])[H:40])([N:12]([H:42])[H:43])[H:31])([H:34])[H:35])[c:4]([H:33])[c:6]([H:36])[c:8]([H:37])[c:11]1[H:41],1,1,1,1,1,1,1,1,1,1,1,1
4,C1=CC=CC2=C1C(CCC2)=O,[C:1]1([H:32])([H:33])[c:7]2[c:3]([c:2]([H:34])[c:11]([H:41])[c:9]([H:38])[c:8]2[H:37])[C:4](=[O:5])[C:6]([H:35])([H:36])[C:10]1([H:39])[H:40].[N:12]([C@@:16]([C:14]([O:13][H:44])=[O:15])([C:17]([H:45])([H:46])[H:47])[H:31])([H:42])[H:43]>>[C:1]1([H:32])([H:33])[c:7]2[c:3]([c:2]([H:34])[c:11]([H:41])[c:9]([H:38])[c:8]2[H:37])[C@@:4]([N:12]([H:42])[H:43])([H:31])[C:6]([H:35])([H:36])[C:10]1([H:39])[H:40].[O:5]=[C:16]([C:14]([O:13][H:44])=[O:15])[C:17]([H:45])([H:46])[H:47],0,0,0,0,0,0,0,0,0,0,0,0
5,CCC(C)=O,[C:7]([C:9]([C:8]([C:10]([H:27])([H:28])[H:29])([H:25])[H:26])=[O:11])([H:22])([H:23])[H:24].[N:1]([C@@:5]([C:3]([O:2][H:18])=[O:4])([C:6]([H:19])([H:20])[H:21])[H:15])([H:16])[H:17]>>[N:1]([C@:9]([C:7]([H:22])([H:23])[H:24])([C:8]([C:10]([H:27])([H:28])[H:29])([H:25])[H:26])[H:15])([H:16])[H:17].[O:2]([C:3](=[O:4])[C:5]([C:6]([H:19])([H:20])[H:21])=[O:11])[H:18],0,0,0,0,0,0,0,0,0,0,0,0
6,C(CC(C)=O)C,[C:1]([C:2](=[O:4])[C:6]([H:34])([H:35])[H:36])([C:3]([C:5]([H:31])([H:32])[H:33])([H:29])[H:30])([H:27])[H:28].[N:7]([C@@:11]([C:9]([O:8][H:39])=[O:10])([C:12]([H:40])([H:41])[H:42])[H:26])([H:37])[H:38]>>[C:1]([C@@:2]([C:6]([H:34])([H:35])[H:36])([N:7]([H:37])[H:38])[H:26])([C:3]([C:5]([H:31])([H:32])[H:33])([H:29])[H:30])([H:27])[H:28].[O:4]=[C:11]([C:9]([O:8][H:39])=[O:10])[C:12]([H:40])([H:41])[H:42],0,0,0,0,1,0,0,0,0,0,0,0
7,C(C(C)=O)OC,[C:1]([C:2](=[O:3])[C:4]([H:27])([H:28])[H:29])([O:5][C:6]([H:30])([H:31])[H:32])([H:25])[H:26].[N:7]([C@@:11]([C:9]([O:8][H:35])=[O:10])([C:12]([H:36])([H:37])[H:38])[H:24])([H:33])[H:34]>>[C:1]([C@@:2]([C:4]([H:27])([H:28])[H:29])([N:7]([H:33])[H:34])[H:24])([O:5][C:6]([H:30])([H:31])[H:32])([H:25])[H:26].[O:3]=[C:11]([C:9]([O:8][H:35])=[O:10])[C:12]([H:36])([H:37])[H:38],1,1,0,1,1,1,1,1,1,1,1,1
8,C(C(C)=O)C(OCC)=O,[C:1]([C:9]([O:5][C:3]([C:2]([C:6](=[O:7])[C:8]([H:35])([H:36])[H:37])([H:33])[H:34])=[O:4])([H:38])[H:39])([H:30])([H:31])[H:32].[N:10]([C@@:14]([C:12]([O:11][H:42])=[O:13])([C:15]([H:43])([H:44])[H:45])[H:29])([H:40])[H:41]>>[C:1]([C:9]([O:5][C:3]([C:2]([C@@:6]([C:8]([H:35])([H:36])[H:37])([N:10]([H:40])[H:41])[H:29])([H:33])[H:34])=[O:4])([H:38])[H:39])([H:30])([H:31])[H:32].[O:7]=[C:14]([C:12]([O:11][H:42])=[O:13])[C:15]([H:43])([H:44])[H:45],1,1,0,1,1,1,1,1,1,1,1,1
9,C(C(C)=O)CCCCC,[C:1]([C:2]([C:3](=[O:5])[C:7]([H:44])([H:45])[H:46])([H:38])[H:39])([C:4]([C:6]([C:8]([C:9]([H:49])([H:50])[H:51])([H:47])[H:48])([H:42])[H:43])([H:40])[H:41])([H:36])[H:37].[N:10]([C@@:14]([C:12]([O:11][H:54])=[O:13])([C:15]([H:55])([H:56])[H:57])[H:35])([H:52])[H:53]>>[C:1]([C:2]([C@@:3]([C:7]([H:44])([H:45])[H:46])([N:10]([H:52])[H:53])[H:35])([H:38])[H:39])([C:4]([C:6]([C:8]([C:9]([H:49])([H:50])[H:51])([H:47])[H:48])([H:42])[H:43])([H:40])[H:41])([H:36])[H:37].[O:5]=[C:14]([C:12]([O:11][H:54])=[O:13])[C:15]([H:55])([H:56])[H:57],0,0,0,0,0,0,1,1,0,0,0,1
